106.3697,0,0.98,0
86.99837,-0.8307602,0.98,0.3456796
99.96454,-2.019608,0.98,2.504312
107.8993,-0.5463622,0.98,4.079144
90.05455,2.05181,0.98,3.998707
123.2246,4.651741,0.98,3.99361
97.27841,6.741002,0.98,5.318676
104.5927,7.612767,0.98,6.414131
108.9904,6.74182,0.98,5.318023
92.39793,5.186558,0.98,3.360688
116.6183,4.247037,0.98,4.107214
86.79582,4.444523,0.98,5.812068
112.7693,6.985723,0.98,6.173764
101.9011,9.402893,0.98,7.024239
85.54314,11.27394,0.98,8.768206
125.571,10.2996,0.98,10.36661
85.62135,8.136992,0.98,8.981438
99.1761,6.434532,0.98,7.029834
93.08327,6.434532,0.98,7.029834
90.68092,6.434532,0.98,7.029834
